model_name,irt_ability
local-cnn_Anxiety_ft-True_sub-False_t10_numLayers-5_numFilters-32_difficultTime-None,-0.3002721965312958
bert-base-uncased_Anxiety_ft-True_sub-False_t2_learningRate-3e-06_difficultTime-None,-0.5397398471832275
local-lstm_Anxiety_ft-True_sub-False_t6_numLstmLayers-2_lstmNodes-64_difficultTime-None,3.4340903759002686
local-ffn_Anxiety_ft-True_sub-False_t2_numLayers-1_layerNodes-128_difficultTime-None,8.903213500976562
xlm-roberta-base-uncased-all-english_Anxiety_ft-True_sub-False_t2_learningRate-3e-06_difficultTime-None,-0.47276201844215393
local-cnn_Anxiety_ft-True_sub-False_t0_numLayers-1_numFilters-16_difficultTime-None,2.9402379989624023
local-lstm_Anxiety_ft-True_sub-False_t4_numLstmLayers-2_lstmNodes-32_difficultTime-None,3.3054113388061523
local-ffn_Anxiety_ft-True_sub-False_t4_numLayers-3_layerNodes-64_difficultTime-None,3.220187187194824
local-cnn_Anxiety_ft-True_sub-False_t6_numLayers-3_numFilters-32_difficultTime-None,-0.17427106201648712
local-cnn_Anxiety_ft-True_sub-False_t8_numLayers-5_numFilters-16_difficultTime-None,-0.275729775428772
bert-base-uncased_Anxiety_ft-True_sub-False_t0_learningRate-3e-05_difficultTime-None,5.732739448547363
local-lstm_Anxiety_ft-True_sub-False_t2_numLstmLayers-1_lstmNodes-64_difficultTime-None,4.068550109863281
local-ffn_Anxiety_ft-True_sub-False_t8_numLayers-5_layerNodes-64_difficultTime-None,0.7474194169044495
local-cnn_Anxiety_ft-True_sub-False_t4_numLayers-3_numFilters-16_difficultTime-None,-0.26807376742362976
local-ffn_Anxiety_ft-True_sub-False_t6_numLayers-3_layerNodes-128_difficultTime-None,3.84820818901062
local-ffn_Anxiety_ft-True_sub-False_t0_numLayers-1_layerNodes-64_difficultTime-None,7.329770088195801
local-cnn_Anxiety_ft-True_sub-False_t2_numLayers-1_numFilters-32_difficultTime-None,4.240632057189941
local-lstm_Anxiety_ft-True_sub-False_t10_numLstmLayers-3_lstmNodes-64_difficultTime-None,3.148872137069702
local-lstm_Anxiety_ft-True_sub-False_t8_numLstmLayers-3_lstmNodes-32_difficultTime-None,3.1711761951446533
local-ffn_Anxiety_ft-True_sub-False_t10_numLayers-5_layerNodes-128_difficultTime-None,1.2495139837265015
local-lstm_Anxiety_ft-True_sub-False_t0_numLstmLayers-1_lstmNodes-32_difficultTime-None,3.2258918285369873
xlm-roberta-base-uncased-all-english_Anxiety_ft-True_sub-False_t0_learningRate-3e-05_difficultTime-None,5.693198204040527
