model_name,irt_ability
bert-base-uncased_SubjectiveLit_ft-True_sub-False_t2_learningRate-3e-06_difficultTime-None,-1.299822211265564
local-cnn_SubjectiveLit_ft-True_sub-False_t10_numLayers-5_numFilters-32_difficultTime-None,-1.4928419589996338
local-lstm_SubjectiveLit_ft-True_sub-False_t4_numLstmLayers-2_lstmNodes-32_difficultTime-None,4.914355278015137
local-ffn_SubjectiveLit_ft-True_sub-False_t2_numLayers-1_layerNodes-128_difficultTime-None,12.831103324890137
local-lstm_SubjectiveLit_ft-True_sub-False_t6_numLstmLayers-2_lstmNodes-64_difficultTime-None,4.937977313995361
local-ffn_SubjectiveLit_ft-True_sub-False_t8_numLayers-5_layerNodes-64_difficultTime-None,-1.403883934020996
local-cnn_SubjectiveLit_ft-True_sub-False_t6_numLayers-3_numFilters-32_difficultTime-None,2.9241766929626465
xlm-roberta-base-uncased-all-english_SubjectiveLit_ft-True_sub-False_t2_learningRate-3e-06_difficultTime-None,-1.433695912361145
local-ffn_SubjectiveLit_ft-True_sub-False_t10_numLayers-5_layerNodes-128_difficultTime-None,3.8270177841186523
local-cnn_SubjectiveLit_ft-True_sub-False_t8_numLayers-5_numFilters-16_difficultTime-None,-1.5806115865707397
local-ffn_SubjectiveLit_ft-True_sub-False_t0_numLayers-1_layerNodes-64_difficultTime-None,10.805882453918457
local-cnn_SubjectiveLit_ft-True_sub-False_t0_numLayers-1_numFilters-16_difficultTime-None,4.803868770599365
local-cnn_SubjectiveLit_ft-True_sub-False_t2_numLayers-1_numFilters-32_difficultTime-None,5.69791316986084
local-lstm_SubjectiveLit_ft-True_sub-False_t0_numLstmLayers-1_lstmNodes-32_difficultTime-None,4.5816473960876465
local-ffn_SubjectiveLit_ft-True_sub-False_t6_numLayers-3_layerNodes-128_difficultTime-None,5.908583641052246
bert-base-uncased_SubjectiveLit_ft-True_sub-False_t0_learningRate-3e-05_difficultTime-None,9.080334663391113
local-ffn_SubjectiveLit_ft-True_sub-False_t4_numLayers-3_layerNodes-64_difficultTime-None,4.185354232788086
local-lstm_SubjectiveLit_ft-True_sub-False_t8_numLstmLayers-3_lstmNodes-32_difficultTime-None,4.359103679656982
local-lstm_SubjectiveLit_ft-True_sub-False_t10_numLstmLayers-3_lstmNodes-64_difficultTime-None,4.4367899894714355
local-cnn_SubjectiveLit_ft-True_sub-False_t4_numLayers-3_numFilters-16_difficultTime-None,-0.40816113352775574
xlm-roberta-base-uncased-all-english_SubjectiveLit_ft-True_sub-False_t0_learningRate-3e-05_difficultTime-None,7.510096549987793
local-lstm_SubjectiveLit_ft-True_sub-False_t2_numLstmLayers-1_lstmNodes-64_difficultTime-None,4.889225006103516
